Name,Acronym,Billing Street,Billing City,Billing Zip Code,Shipping Street,Shipping City,Shipping Zip Code,BEDS,ORISS Institution ID,NIPSIS,DOE Name
Bais Yaakov of Queens ,,12450 Metropoolitan Ave,Queens,11415,124-50 Metropolitan Ave,Queens,,342800226480,800000042667,28720,BAIS YAAKOV ACADEMY FOR GIRLS
Bais Yaakov of Ramapo ,,16 Herschel Terr,Monsey,10952,984 Haverstraw Rd,Monsey,10952,500401229384,800000039002,,BAIS YAAKOV OF RAMAPO
Bais Yaakov of South Fallsburg ,,5478 State Rte 42,Fallsburg,12733,5478 State Rte 42,Fallsburg,12733,590501226076,800000070471,,
Bais Yaakov of the Five Towns ,,15 Frost Ln,Lawrence,11559,25 Frost Ln,Lawrence,,280215226664,800000093026,,BAIS YAAKOV OF THE FIVE TOWNS
Bais Yaakov of the Lower East Side ,,142 Broome St,New York,10002,142 Broome St,New York,10002,310100227822,800000048457,1817,BETH JACOB ELEMENTARY SCHOOL
Bais Yaakov Shiras Miriam ,,89 W Maple Ave,Monsey,10952,89 West Maple Ave,Monsey,10952,500402226384,800000090322,,BAIS YAAKOV SHIRAS MIRIAM
Bais Yakov D'Khal Yereim ,,184 Nostrand Ave,Brooklyn,11205,184 Nostrand Ave,Brooklyn,,331300207236,800000045270,13094,BAIS YAKOV DKHAI ADAD YEREIM
Bais Yehuda ,,72 Main St,Monsey,10952,710 Union Rd,Spring Valley,,500402229966,800000057299,,BAIS YEHUDA
Bais Yisroel School ,,P.O. Box 406,Kiamesha Lake,12751,213 Gibber Rd,Kiamesha Lake,12751,591401229948,800000056551,,BAIS YISROEL SCHOOL
Bais Yitzchak School ,,1413 45th St,Brooklyn,11219,1413 45th St,Brooklyn,,332000227520,800000044315,20840,BIAS YITZCHAK SCHOOL
Barkai Yeshivah ,,5302 21st Ave,Brooklyn,11204,5302 21st Ave,Brooklyn,,332100229811,800000044016,21677,BARKAI YESHIVA
Bas Mikroh Girls School ,,28 W Maple Ave,Monsey,10952,381 Viola Rd,Spring Valley,,500402229085,800000039021,,BAS MIKROH
Be'er Hagolah Elementary ,,671 Louisiana Ave,Brooklyn,11239,671 Louisiana Ave,Brooklyn,11239-1514,331900228395,800000034239,19715,BEER HAGOLAH INSTITUTE HIGH SCHOOL
Be'er Hagolah High School ,,671 Louisiana Ave,Brooklyn,11239,671 Louisiana Ave,Brooklyn,11239,331900228604,800000044044,,Be'er Hagolah Institute High School
Beikvei Hatzoin ,,31 Division Ave,Brooklyn,11249,31 Division Ave,Brooklyn,,331400229075,800000045234,14762,BEIKVEI HATZOIN
Beis Chaya Mushka ,,1505 Carroll St,Brooklyn,11213,1505 Carroll St,Brooklyn,,331700229743,800000044772,17625,CONGREGATION YESHIVA BEIS CHAYA MUSHKA
Beit Rabban Day School ,,270 W 89th St,New York,10024,270 W 89th St,New York,,310300229306,800000047363,3709,Beit Rabban Day School
Bet Yaakov Ateret Torah Elementary ,,2166 Coney Island Ave,Brooklyn,11223,2166 Coney Island Ave,Brooklyn,11223,332100229099,800000044039,21805,BET YAAKOV ATERET TORAH
Bet Yaakov Ateret Torah High School ,,2166 Coney Island Ave,Brooklyn,11223,2166 Coney Island Ave,Brooklyn,,332100229256,800000044042,21789,BET YAKOV ATERET TORAH HIGH SCHOOL
Bet Yaakov Mekor Haim ,,1647-1649 East 13th St,Brooklyn,11229,1647-1649 East 13th St,Brooklyn,11229,332100226781,800000093701,,
Bet Yaakov Orot Sarah ,,1123 Ave N,Brooklyn,11230,1123 Ave N-Apt 2B,Brooklyn,,332100229599,800000044027,21900,BET YAAKOV OHR SARAH HS
Beth Chana ,,712 Bedford Ave,Brooklyn,11206,712 Bedford Ave,Brooklyn,11206,331400226885,800000045240,14774,BETH CHANA SCHOOL AND HIGH SCHOOL FOR GIRLS
Beth Jacob High School ,,4422 15th Ave,Brooklyn,11219,4420 15th Ave,Brooklyn,,332000206898,800000044308,20727,BETH JACOB HIGH SCHOOL
Beth Jacob of Boro Park ,,1371 46th St,Brooklyn,11219,1371 46th St,Brooklyn,,332000226486,800000044318,20729,BETH JACOB OF BORO PARK
Beth Miriam Leah ,,194 Division St,Brooklyn,11211,5 S Nitra Rd,Mount Kisco,10549,662402226292,800000089603,,
Beth Rachel School for Girls ,,82 Lee Ave,Brooklyn,11211,241 Keap St,Brooklyn,,331400227203,800000045251,14740,UNITED TALMUDICAL ACADEMY
Beth Rachel School For Girls 60 ,,60 Harrison Ave,Brooklyn,11211,60 Harrison Ave,Brooklyn,,331400226638,800000092678,14040,BETH RACHEL SCHOOL FOR GIRLS 68
Beth Rachel School for Girls 720 ,,128 Rutledge Street,Brooklyn,11249,720 Wythe Ave,Brooklyn,11211,331400226374,800000045074,,United Talmudical Academy
Beth Rachel School Girls 68 ,,68 Harrison Ave,Brooklyn,11026,68-84 Harrison Ave,Brooklyn,,331400226444,800000045075,14966,BETH RACHEL SCHOOL FOR GIRLS
Beth Rivkah Elementary School ,,470 Lefferts Ave,Brooklyn,11225,470 Lefferts Ave,Brooklyn,11225,331700226524,800000034223,17703,BETH RIVKAH SCHOOL
Beth Rivkah High School ,,310 Crown St,Brooklyn,11225,310 Crown St,Brooklyn,,331700207384,800000044764,17702,ASSOCIATED BETH RIVKAH SCHOOL
Beth Rochel School - Girls ,,P.O. Box 302,Monsey,10952,145 Saddle River Rd,Monsey,10952-3913,500402226680,800000039038,,BETH ROCHEL SCHOOL-GIRLS
Big Apple Institute Inc ,,2937 86th St,Brooklyn,11223,2937 86th St,Brooklyn,11223,332100229485,800000043812,,
Big Apple Institute Site 2 ,,503 Lake St,Brooklyn,11223,503 Lake St,Brooklyn,11223,332100226349,800000056156,,
Blima Ruchel Girls-bobov Monsey ,,P.O. Box 87,Monsey,10952,116 College Rd,Monsey,10952,500402226762,800000093559,,
Bnai Yoel School # 38 ,,P.O. Box 255,Monroe,10950,20 Bnai Yoel Dr,Monroe,,441201229273,800000040306,,CONGREGATION BNEI YOEL SCHOOL #38
Bnei Yakov Yosef of Monsey - Site 2 ,,201 W Maple Ave,Monsey,10952,201 W Maple Ave,Monsey,10952,500402226305,800000089676,,
Bnei Yakov Yosef of Monsey ,,P.O. Box 727,Spring Valley,10977,23 Union Rd,Spring Valley,,500402225674,800000060636,,BNEI YAKOV YOSEF OF MONSEY
Bnei Yoel School #156 ,,P.O. Box 255,Monroe,10949,156 Acres Rd,Monroe,10950,441201226419,800000040328,,
Bnei Yoel School #22 ,,P.O. Box 255,Monroe,10949,22 Bnai Yoel Dr,Monroe,10949,441201226437,800000090708,,
Bnos Aliya ,,120 W 76th St,New York,10023,120 W 76th St,New York,,310300226209,800000086004,3036,GAN ALLIYA MONTESSORI
Bnos Bais Yaakov of Far Rockaway ,BBY,613 Beach 9th St,Queens,11691,613 Beach 9th St,Queens,11691,342700228636,800000042829,27804,BNOS BAIS YAAKOV OF FAR ROCKAWAY
Bnos Chana Vien ,,61 College Rd,Monsey,10952,61 College Rd,Monsey,10952,500402226317,800000089830,,
Bnos Chaya - Site 2 ,,471 N Gannon Ave,Staten Island,10314,471 N Gannon Ave,Staten Island,,353100226476,800000091360,31098,CONGREGATION BNOS CHAYA
Bnos Chaya ,,4511 14th Ave,Brooklyn,11219,4511 14th Ave,Brooklyn,,332100226100,800000074914,20762,BNOS CHAYA
